Station,Level,Commune,Zone,Opened,LAT,LON
Aksel Møllers Have,Under,Frederiksberg,1,Under construction,55.686469,12.533563
Amager Strand,Over,København,3,2007 09 28,55.656154,12.631881
Amagerbro,Under,København,1,2002 10 19,55.663550,12.602697
Bella Center,Over,København,3,2002 10 19,55.638085,12.582720
Christianshavn,Under,København,1,2002 10 19,55.672168,12.591404
DR Byen,Over,København,3,2002 10 19,55.655838,12.589002
Enghave Plads,Over,København,1,Under construction,55.666394,12.543599
Fasanvej,Under,Frederiksberg,2,2003 10 12,55.681686,12.523097
Femøren,Over,København,3,2007 09 28,55.645536,12.638335
Flintholm,Over,Frederiksberg,2,2004 01 24,55.685944,12.499505
Forum,Under,Frederiksberg,1,2003 05 29,55.681831,12.553098
Frederiksberg,Under,Frederiksberg,2,2003 05 29,55.681214,12.531878
Frederiksberg Allé,Under,Frederiksberg,1,Under construction,55.673909,12.540927
Frederikskaj,Under,København,1,Planned,0,0
Gammel Strand,Under,København,1,Under construction,55.678152,12.579448
Havneholmen,Under,København,1,Planned,0,0
Islands Brygge,Under,København,1,2002 10 19,55.663730,12.585344
Kastrup,Over,Tårnby,4,2007 09 29,55.635756,12.646727
Kongens Nytorv,Under,København,1,2002 10 19,55.679440,12.585141
København H,Under,København,1,Under construction,55.672760,12.564935
Lergravsparken,Under,København,1,2002 10 19,55.662136,12.616430
Lindevang,Over,Frederiksberg,2,2003 10 12,55.683520,12.512867
Lufthavnen,Over,Tårnby,4,2007 10 28,55.630143,12.649382
Marmorkirken,Under,København,1,Under construction,55.685465,12.588728
Mozarts Plads,Under,København,2,Planned,0,0
Nordhavn,Under,København,1,Under construction,55.705354,12.590775
Nuuks Plads,Under,København,1,Under construction,55.688598,12.542528
Ny Ellebjerg,Under,København,2,Planned,0,0
Nørrebro,Under,København,2,Under construction,55.700879,12.537794
Nørrebros Runddel,Under,København,1,Under construction,55.693906,12.549273
Nørreport,Under,København,1,2002 10 19,55.683680,12.571588
Orientkaj,Over,København,1,Planned,0,0
Poul Henningsens Plads,Under,København,1,Under construction,55.709225,12.576502
Rådhuspladsen,Under,København,1,Under construction,55.675983,12.568991
Skjolds Plads,Under,København,1,Under construction,55.703610,12.549580
Slusen,Under,København,1,Planned,0,0
Sundby,Over,København,3,2002 10 19,55.645264,12.585790
Trianglen,Under,København,1,Under construction,55.699325,12.577194
Vanløse,Gade,København,2,2003 10 13,55.687346,12.491589
Vestamager,Over,København,3,2002 10 19,55.619391,12.575485
Vibenshus Runddel,Under,København,1,Under construction,55.705963,12.562012
Ørestad,Over,København,3,2002 10 19,55.629052,12.579395
Ørestad Syd,Over,København,3,Planned,0,0
Øresund,Sænkning,København,3,2007 10 28,55.661333,12.628824
Østerport,Under,København,1,Under construction,55.661334,12.628830
